source_file,copied_file,class,is_duplicated,target_ratio,actual_ratio
train_006.npz,train_006.npz,hard_negative,false,0.35,0.35353535353535354
train_028.npz,train_028.npz,hard_negative,false,0.35,0.35353535353535354
train_029.npz,train_029.npz,hard_negative,false,0.35,0.35353535353535354
train_030.npz,train_030.npz,hard_negative,false,0.35,0.35353535353535354
train_031.npz,train_031.npz,hard_negative,false,0.35,0.35353535353535354
train_032.npz,train_032.npz,hard_negative,false,0.35,0.35353535353535354
train_033.npz,train_033.npz,hard_negative,false,0.35,0.35353535353535354
train_034.npz,train_034.npz,hard_negative,false,0.35,0.35353535353535354
train_035.npz,train_035.npz,hard_negative,false,0.35,0.35353535353535354
train_036.npz,train_036.npz,hard_negative,false,0.35,0.35353535353535354
train_037.npz,train_037.npz,hard_negative,false,0.35,0.35353535353535354
train_038.npz,train_038.npz,hard_negative,false,0.35,0.35353535353535354
train_039.npz,train_039.npz,hard_negative,false,0.35,0.35353535353535354
train_045.npz,train_045.npz,hard_negative,false,0.35,0.35353535353535354
train_046.npz,train_046.npz,hard_negative,false,0.35,0.35353535353535354
train_047.npz,train_047.npz,hard_negative,false,0.35,0.35353535353535354
train_048.npz,train_048.npz,hard_negative,false,0.35,0.35353535353535354
train_049.npz,train_049.npz,hard_negative,false,0.35,0.35353535353535354
train_056.npz,train_056.npz,hard_negative,false,0.35,0.35353535353535354
train_058.npz,train_058.npz,hard_negative,false,0.35,0.35353535353535354
train_061.npz,train_061.npz,hard_negative,false,0.35,0.35353535353535354
train_073.npz,train_073.npz,hard_negative,false,0.35,0.35353535353535354
train_088.npz,train_088.npz,hard_negative,false,0.35,0.35353535353535354
train_089.npz,train_089.npz,hard_negative,false,0.35,0.35353535353535354
train_090.npz,train_090.npz,hard_negative,false,0.35,0.35353535353535354
train_091.npz,train_091.npz,hard_negative,false,0.35,0.35353535353535354
train_092.npz,train_092.npz,hard_negative,false,0.35,0.35353535353535354
train_093.npz,train_093.npz,hard_negative,false,0.35,0.35353535353535354
train_094.npz,train_094.npz,hard_negative,false,0.35,0.35353535353535354
train_095.npz,train_095.npz,hard_negative,false,0.35,0.35353535353535354
train_096.npz,train_096.npz,hard_negative,false,0.35,0.35353535353535354
train_097.npz,train_097.npz,hard_negative,false,0.35,0.35353535353535354
train_098.npz,train_098.npz,hard_negative,false,0.35,0.35353535353535354
train_006.npz,train_006__dup01.npz,hard_negative,true,0.35,0.35353535353535354
train_028.npz,train_028__dup01.npz,hard_negative,true,0.35,0.35353535353535354
train_000.npz,train_000.npz,structured_background,false,0.4,0.3939393939393939
train_001.npz,train_001.npz,structured_background,false,0.4,0.3939393939393939
train_004.npz,train_004.npz,structured_background,false,0.4,0.3939393939393939
train_005.npz,train_005.npz,structured_background,false,0.4,0.3939393939393939
train_014.npz,train_014.npz,structured_background,false,0.4,0.3939393939393939
train_015.npz,train_015.npz,structured_background,false,0.4,0.3939393939393939
train_016.npz,train_016.npz,structured_background,false,0.4,0.3939393939393939
train_019.npz,train_019.npz,structured_background,false,0.4,0.3939393939393939
train_022.npz,train_022.npz,structured_background,false,0.4,0.3939393939393939
train_023.npz,train_023.npz,structured_background,false,0.4,0.3939393939393939
train_024.npz,train_024.npz,structured_background,false,0.4,0.3939393939393939
train_025.npz,train_025.npz,structured_background,false,0.4,0.3939393939393939
train_027.npz,train_027.npz,structured_background,false,0.4,0.3939393939393939
train_042.npz,train_042.npz,structured_background,false,0.4,0.3939393939393939
train_054.npz,train_054.npz,structured_background,false,0.4,0.3939393939393939
train_055.npz,train_055.npz,structured_background,false,0.4,0.3939393939393939
train_057.npz,train_057.npz,structured_background,false,0.4,0.3939393939393939
