source_file,copied_file,class,is_duplicated,target_ratio,actual_ratio
train_006.npz,train_006.npz,hard_negative,false,0.45,0.4444444444444444
train_028.npz,train_028.npz,hard_negative,false,0.45,0.4444444444444444
train_029.npz,train_029.npz,hard_negative,false,0.45,0.4444444444444444
train_030.npz,train_030.npz,hard_negative,false,0.45,0.4444444444444444
train_031.npz,train_031.npz,hard_negative,false,0.45,0.4444444444444444
train_032.npz,train_032.npz,hard_negative,false,0.45,0.4444444444444444
train_033.npz,train_033.npz,hard_negative,false,0.45,0.4444444444444444
train_034.npz,train_034.npz,hard_negative,false,0.45,0.4444444444444444
train_035.npz,train_035.npz,hard_negative,false,0.45,0.4444444444444444
train_036.npz,train_036.npz,hard_negative,false,0.45,0.4444444444444444
train_037.npz,train_037.npz,hard_negative,false,0.45,0.4444444444444444
train_038.npz,train_038.npz,hard_negative,false,0.45,0.4444444444444444
train_039.npz,train_039.npz,hard_negative,false,0.45,0.4444444444444444
train_045.npz,train_045.npz,hard_negative,false,0.45,0.4444444444444444
train_046.npz,train_046.npz,hard_negative,false,0.45,0.4444444444444444
train_047.npz,train_047.npz,hard_negative,false,0.45,0.4444444444444444
train_048.npz,train_048.npz,hard_negative,false,0.45,0.4444444444444444
train_049.npz,train_049.npz,hard_negative,false,0.45,0.4444444444444444
train_056.npz,train_056.npz,hard_negative,false,0.45,0.4444444444444444
train_058.npz,train_058.npz,hard_negative,false,0.45,0.4444444444444444
train_061.npz,train_061.npz,hard_negative,false,0.45,0.4444444444444444
train_073.npz,train_073.npz,hard_negative,false,0.45,0.4444444444444444
train_088.npz,train_088.npz,hard_negative,false,0.45,0.4444444444444444
train_089.npz,train_089.npz,hard_negative,false,0.45,0.4444444444444444
train_090.npz,train_090.npz,hard_negative,false,0.45,0.4444444444444444
train_091.npz,train_091.npz,hard_negative,false,0.45,0.4444444444444444
train_092.npz,train_092.npz,hard_negative,false,0.45,0.4444444444444444
train_093.npz,train_093.npz,hard_negative,false,0.45,0.4444444444444444
train_094.npz,train_094.npz,hard_negative,false,0.45,0.4444444444444444
train_095.npz,train_095.npz,hard_negative,false,0.45,0.4444444444444444
train_096.npz,train_096.npz,hard_negative,false,0.45,0.4444444444444444
train_097.npz,train_097.npz,hard_negative,false,0.45,0.4444444444444444
train_098.npz,train_098.npz,hard_negative,false,0.45,0.4444444444444444
train_006.npz,train_006__dup01.npz,hard_negative,true,0.45,0.4444444444444444
train_028.npz,train_028__dup01.npz,hard_negative,true,0.45,0.4444444444444444
train_029.npz,train_029__dup01.npz,hard_negative,true,0.45,0.4444444444444444
train_030.npz,train_030__dup01.npz,hard_negative,true,0.45,0.4444444444444444
train_031.npz,train_031__dup01.npz,hard_negative,true,0.45,0.4444444444444444
train_032.npz,train_032__dup01.npz,hard_negative,true,0.45,0.4444444444444444
train_033.npz,train_033__dup01.npz,hard_negative,true,0.45,0.4444444444444444
train_034.npz,train_034__dup01.npz,hard_negative,true,0.45,0.4444444444444444
train_035.npz,train_035__dup01.npz,hard_negative,true,0.45,0.4444444444444444
train_036.npz,train_036__dup01.npz,hard_negative,true,0.45,0.4444444444444444
train_037.npz,train_037__dup01.npz,hard_negative,true,0.45,0.4444444444444444
train_001.npz,train_001.npz,structured_background,false,0.3,0.30303030303030304
train_027.npz,train_027.npz,structured_background,false,0.3,0.30303030303030304
train_070.npz,train_070.npz,structured_background,false,0.3,0.30303030303030304
train_071.npz,train_071.npz,structured_background,false,0.3,0.30303030303030304
train_019.npz,train_019.npz,structured_background,false,0.3,0.30303030303030304
train_086.npz,train_086.npz,structured_background,false,0.3,0.30303030303030304
train_024.npz,train_024.npz,structured_background,false,0.3,0.30303030303030304
train_000.npz,train_000.npz,structured_background,false,0.3,0.30303030303030304
train_069.npz,train_069.npz,structured_background,false,0.3,0.30303030303030304
train_014.npz,train_014.npz,structured_background,false,0.3,0.30303030303030304
train_074.npz,train_074.npz,structured_background,false,0.3,0.30303030303030304
train_015.npz,train_015.npz,structured_background,false,0.3,0.30303030303030304
train_005.npz,train_005.npz,structured_background,false,0.3,0.30303030303030304
train_085.npz,train_085.npz,structured_background,false,0.3,0.30303030303030304
train_067.npz,train_067.npz,structured_background,false,0.3,0.30303030303030304
train_004.npz,train_004.npz,structured_background,false,0.3,0.30303030303030304
train_076.npz,train_076.npz,structured_background,false,0.3,0.30303030303030304
train_025.npz,train_025.npz,structured_background,false,0.3,0.30303030303030304
train_057.npz,train_057.npz,structured_background,false,0.3,0.30303030303030304
train_083.npz,train_083.npz,structured_background,false,0.3,0.30303030303030304
train_060.npz,train_060.npz,structured_background,false,0.3,0.30303030303030304
train_023.npz,train_023.npz,structured_background,false,0.3,0.30303030303030304
train_062.npz,train_062.npz,structured_background,false,0.3,0.30303030303030304
train_016.npz,train_016.npz,structured_background,false,0.3,0.30303030303030304
train_068.npz,train_068.npz,structured_background,false,0.3,0.30303030303030304
train_059.npz,train_059.npz,structured_background,false,0.3,0.30303030303030304
train_022.npz,train_022.npz,structured_background,false,0.3,0.30303030303030304
train_082.npz,train_082.npz,structured_background,false,0.3,0.30303030303030304
train_081.npz,train_081.npz,structured_background,false,0.3,0.30303030303030304
train_042.npz,train_042.npz,structured_background,false,0.3,0.30303030303030304
train_078.npz,train_078.npz,uniform_background,false,0.25,0.25252525252525254
train_077.npz,train_077.npz,uniform_background,false,0.25,0.25252525252525254
train_044.npz,train_044.npz,uniform_background,false,0.25,0.25252525252525254
train_012.npz,train_012.npz,uniform_background,false,0.25,0.25252525252525254
train_013.npz,train_013.npz,uniform_background,false,0.25,0.25252525252525254
train_010.npz,train_010.npz,uniform_background,false,0.25,0.25252525252525254
train_050.npz,train_050.npz,uniform_background,false,0.25,0.25252525252525254
