source_file,copied_file,class,is_duplicated,target_ratio,actual_ratio
train_036.npz,train_036.npz,hard_negative,false,0.25,0.25252525252525254
train_088.npz,train_088.npz,hard_negative,false,0.25,0.25252525252525254
train_032.npz,train_032.npz,hard_negative,false,0.25,0.25252525252525254
train_049.npz,train_049.npz,hard_negative,false,0.25,0.25252525252525254
train_097.npz,train_097.npz,hard_negative,false,0.25,0.25252525252525254
train_073.npz,train_073.npz,hard_negative,false,0.25,0.25252525252525254
train_058.npz,train_058.npz,hard_negative,false,0.25,0.25252525252525254
train_096.npz,train_096.npz,hard_negative,false,0.25,0.25252525252525254
train_039.npz,train_039.npz,hard_negative,false,0.25,0.25252525252525254
train_098.npz,train_098.npz,hard_negative,false,0.25,0.25252525252525254
train_092.npz,train_092.npz,hard_negative,false,0.25,0.25252525252525254
train_045.npz,train_045.npz,hard_negative,false,0.25,0.25252525252525254
train_056.npz,train_056.npz,hard_negative,false,0.25,0.25252525252525254
train_061.npz,train_061.npz,hard_negative,false,0.25,0.25252525252525254
train_028.npz,train_028.npz,hard_negative,false,0.25,0.25252525252525254
train_048.npz,train_048.npz,hard_negative,false,0.25,0.25252525252525254
train_095.npz,train_095.npz,hard_negative,false,0.25,0.25252525252525254
train_091.npz,train_091.npz,hard_negative,false,0.25,0.25252525252525254
train_038.npz,train_038.npz,hard_negative,false,0.25,0.25252525252525254
train_090.npz,train_090.npz,hard_negative,false,0.25,0.25252525252525254
train_033.npz,train_033.npz,hard_negative,false,0.25,0.25252525252525254
train_034.npz,train_034.npz,hard_negative,false,0.25,0.25252525252525254
train_030.npz,train_030.npz,hard_negative,false,0.25,0.25252525252525254
train_035.npz,train_035.npz,hard_negative,false,0.25,0.25252525252525254
train_029.npz,train_029.npz,hard_negative,false,0.25,0.25252525252525254
train_015.npz,train_015.npz,structured_background,false,0.25,0.25252525252525254
train_005.npz,train_005.npz,structured_background,false,0.25,0.25252525252525254
train_069.npz,train_069.npz,structured_background,false,0.25,0.25252525252525254
train_087.npz,train_087.npz,structured_background,false,0.25,0.25252525252525254
train_062.npz,train_062.npz,structured_background,false,0.25,0.25252525252525254
train_060.npz,train_060.npz,structured_background,false,0.25,0.25252525252525254
